Name,Location Type,Cost Production,Cost Credits
Megapolis,Habitable,120/900/5400/10800/18000,8400/19712./32032./46200./61600.
Central Hub,Sterile,130/990/5940/11880/19800,9000/21120/34320/49500/66000
Array of Excavators,Sterile,200/900/5400/10800/18000,1950/4576./7436./10725./14300.
Swarm of Self-Drilling Machines,Asteroid or Moon,300/1125/6750/13500/22500,3900/9152./14872./21450./28600.
Residential District,Habitable,30/225/1350/2700/4500,1950/4576./7436./10725./14300.
Capsule Cities,Sterile,200/900/5400/10800/18000,3450/8096./13156./18975./25300.
Hive Cities,Habitable,300/1125/6750/13500/22500,4500/10560/17160/24750/33000
Residential Archipelago,Habitable,450/3375/20250/40500/67500,7500/17600./28600./41250./55000.
Industrial Hub,Habitable,500/2475/24750/54450/99000,6000/14080/22880/33000/44000
Refining Ducts,Asteroid or Moon,120/1800/18000/39600/72000,2000/7040/11440/16500/22000
Metamaterials Factory,Sterile,30000/52500/105000/210000/420000,180000/165000/264000/429000/660000
Orbital Link,Habitable,4000/7200/43200/86400/144000,70000/123200./200200./288750./385000.
Space Elevator,Sterile,1500/5400/16200/43200/108000,22500/52800/85800/123750/165000
Delta Polytech,Habitable,70/337.5/3375/7425/13500,1500/3520/5720/8250/11000
Accelerator,Habitable,15000/37500/75000/150000/300000,72000/99000./158400./257400./396000.
Impact Research Station,Sterile,250/1575/15750/34650/63000,3750/8800./14300./20625./27500.
Experiment Station,Asteroid or Moon,150/900/9000/19800/36000,6000/14080/22880/33000/44000
Citadel,Habitable,120/450/4500/9900/18000,1500/3520/5720/8250/11000
Holodome,Sterile,2000/6500/19500/52000/130000,3000/7040/11440/16500/22000
Floating Gardens,Habitable,1200/4365/13095/34920/87300,15000/35200./57200./82500./110000.
Monolith,Sterile,20000/50000/100000/200000/400000,160000/115500./184800./300300./462000.
Network of Artificial Islands,Habitable,2200/8100/24300/64800/162000,50000/68750/110000/178750/275000
Commercial Artery,Habitable,200/1350/13500/29700/54000,4000/14080/22880/33000/44000
Omnimarket,Sterile,150/1012.5/10125/22275/40500,8000/17600./28600./41250./55000.
Reflect District,Habitable,20000/52312.5/104625/209250/418500,140000/107250./171600./278850./429000.
Business Arch,Asteroid or Moon,2500/9000/54000/108000/180000,40000/44000/70400/114400/176000
Industrial Spaceport,Sterile,1400/4950/14850/39600/99000,9000/21120/34320/49500/66000
Orbital Terminus,Asteroid or Moon,1600/5400/32400/64800/108000,20000/35200./57200./82500./110000.
C.N.D.,Sterile,5000/13500/27000/54000/108000,19500/45760/74360/107250/143000
Planetary Shield,Habitable,1000/3600/10800/28800/72000,11250/26400/42900/61875/82500
Interception Tunnels,Sterile,800/2790/8370/22320/55800,9750/22880/37180/53625/71500
Constellation of Lures,Asteroid or Moon,100/225/1350/2700/4500,3750/8800./14300./20625./27500.
Preserved Echosystem,Habitable,12000/31500/63000/126000/252000,64000/95700/143550/207350/319000
Hyperdrive Circuit,Sterile,600/2160/6480/17280/43200,20250/47520/77220/111375/148500
Zero-G-Arena,Asteroid or Moon,800/2880/8640/23040/57600,9900/23232/37752/54450/72600
O.P.U.,Asteroid or Moon,200/1350/13500/29700/54000,3300/7744./12584./18150./24200.
S-01 Assembly Line,Asteroid or Moon,400/1440/4320/11520/28800,10500/19250/30800/50050/77000
S-02 Assembly Line,Asteroid or Moon,800/2880/8640/23040/57600,15000/27500./44000./71500./110000.
Space Dock,Asteroid or Moon,1500/5400/16200/43200/108000,40000/68750/110000/178750/275000
Assembly Superstructure,Asteroid or Moon,3000/10800/32400/86400/216000,100000/118250./189200./307450./473000.
Aerospace Military Academy,Sterile,6000/15750/31500/63000/126000,19500/45760/74360/107250/143000
S.L.S.D. Network,Asteroid or Moon,360/1350/4050/10800/27000,4950/11616/18876/27225/36300
Orb-Intel,Habitable,7500/16875/33750/67500/135000,18750/44000/71500/103125/137500
Convention Center,Habitable,1500/2025/20250/44550/81000,4800/11264/18304/26400/35200
Integrated Proxy Systems,Sterile,250/1687.5/16875/37125/67500,4050/9504./15444./22275./29700.
